iter	Passed	Remaining
404	9440	2214
405	9463	2191
406	9486	2167
407	9510	2144
408	9533	2121
409	9558	2098
410	9582	2075
411	9605	2051
412	9632	2029
413	9655	2005
414	9678	1982
415	9701	1959
416	9724	1935
417	9747	1912
418	9771	1888
419	9794	1865
420	9817	1842
421	9841	1819
422	9866	1795
423	9889	1772
424	9913	1749
425	9940	1726
426	9963	1703
427	9987	1680
428	10011	1656
429	10034	1633
430	10057	1610
431	10081	1586
432	10105	1563
433	10129	1540
434	10152	1516
435	10174	1493
436	10197	1470
437	10221	1446
438	10243	1423
439	10267	1400
440	10290	1376
441	10313	1353
442	10335	1329
443	10360	1306
444	10383	1283
445	10406	1259
446	10429	1236
447	10453	1213
448	10476	1189
449	10500	1166
450	10528	1143
451	10552	1120
452	10576	1097
453	10600	1074
454	10624	1050
455	10652	1027
456	10677	1004
457	10701	981
458	10725	958
459	10750	934
460	10775	911
461	10800	888
462	10824	864
463	10848	841
464	10872	818
465	10896	795
466	10920	771
467	10945	748
468	10969	725
469	10993	701
470	11016	678
471	11041	654
472	11064	631
473	11087	608
474	11109	584
475	11133	561
476	11155	537
477	11179	514
478	11202	491
479	11227	467
480	11249	444
481	11273	420
482	11296	397
483	11319	374
484	11342	350
485	11368	327
486	11391	304
487	11414	280
488	11437	257
489	11460	233
490	11484	210
491	11508	187
492	11532	163
493	11555	140
494	11578	116
495	11601	93
496	11624	70
497	11647	46
498	11670	23
499	11693	0
