iter	SurvivalAft	SurvivalAft:dist=Normal;scale=1.2
457	0.9420387134	0.9420387134
458	0.9396002011	0.9396002011
459	0.9393527585	0.9393527585
460	0.93919705	0.93919705
461	0.9384078619	0.9384078619
462	0.937846095	0.937846095
463	0.9354816801	0.9354816801
464	0.935562548	0.935562548
465	0.9350116789	0.9350116789
466	0.9354591778	0.9354591778
467	0.9352953757	0.9352953757
468	0.9344016451	0.9344016451
469	0.9318829087	0.9318829087
470	0.9306406498	0.9306406498
471	0.929065104	0.929065104
472	0.9283008641	0.9283008641
473	0.9280569359	0.9280569359
474	0.9266588485	0.9266588485
475	0.9259626895	0.9259626895
476	0.9259194092	0.9259194092
477	0.924766792	0.924766792
478	0.9244419837	0.9244419837
479	0.9246588532	0.9246588532
480	0.9246640275	0.9246640275
481	0.9233888139	0.9233888139
482	0.9237434751	0.9237434751
483	0.9229806102	0.9229806102
484	0.9230708195	0.9230708195
485	0.9231400603	0.9231400603
486	0.9226059347	0.9226059347
487	0.9215819015	0.9215819015
488	0.9214858495	0.9214858495
489	0.9212721758	0.9212721758
490	0.9204714477	0.9204714477
491	0.9196428001	0.9196428001
492	0.919545252	0.919545252
493	0.9186970866	0.9186970866
494	0.9185343931	0.9185343931
495	0.9185485648	0.9185485648
496	0.9181535337	0.9181535337
497	0.9167615822	0.9167615822
498	0.916234105	0.916234105
499	0.9162692213	0.9162692213
